Date,Symbol,Action,Allocation_Pct,Status,Timestamp
2026-06-21,ZOMATO,VETO_ADD,5.0,EXECUTED,2026-06-21T23:00:00
2026-06-21,HINDCOPPER,VETO_REMOVE,0.0,EXECUTED,2026-06-21T23:25:33.079250
2026-06-21,HINDALCO,VETO_REMOVE,0.0,EXECUTED,2026-06-21T23:28:11.308754
2026-06-21,NLC,VETO_REMOVE,0.0,EXECUTED,2026-06-21T23:30:09.938581
2026-06-22,SAIL,VETO_REMOVE,0.0,EXECUTED,2026-06-22T22:26:16.771908
2026-06-22,VIJAYA,VETO_REMOVE,0.0,EXECUTED,2026-06-22T22:29:14.437606
2026-07-03,NYKAA,VETO_ADD,1.0,EXECUTED,2026-07-03T19:59:44.713688
